polygon1_name,polygon2_name,mean_colocation
Aberdeen,Knowsley,6.883046890238008e-5
Aberdeen,Sefton,5.0682854094490506e-5
Aberdeen,Wirral,2.5249322785700263e-5
Aberdeen,Halton,1.573537465512357e-5
Aberdeen,North Lincolnshire,1.4966770097250478e-5
Aberdeen,Saint Helens,1.4615883770198386e-5
Aberdeen,Warrington,8.69205706500068e-6
Aberdeen,Lincolnshire,6.95016826623934e-6
Aberdeen,Cheshire West and Chester,5.477847373023627e-6
Aberdeen,Kingston upon Hull,4.54639414140622e-6
Aberdeen City,Aberdeenshire,1.0718872601609818e-4
Aberdeen City,Angus,1.958834925528511e-5
Aberdeen City,Moray,1.594164310303137e-5
Aberdeen City,Orkney Islands,1.4190064374660712e-5
Aberdeen City,Shetland Islands,1.1590558391769164e-5
Aberdeen City,Dundee,7.747573620618001e-6
Aberdeen City,Highland,5.240475354661234e-6
Aberdeen City,Edinburgh,2.8840209546980668e-6
Aberdeen City,Perthshire and Kinross,2.806434820686531e-6
Aberdeen City,Glasgow,2.7734111738970987e-6
Aberdeenshire,Aberdeen City,1.0718872601609818e-4
Aberdeenshire,Moray,1.8693109186746452e-5
Aberdeenshire,Angus,1.2730485970145617e-5
Aberdeenshire,Dundee,4.38665041386525e-6
Aberdeenshire,Orkney Islands,4.172178021465589e-6
Aberdeenshire,Highland,3.3628069361450353e-6
Aberdeenshire,Perthshire and Kinross,1.9798594429490656e-6
Aberdeenshire,Shetland Islands,1.8815017016554716e-6
Aberdeenshire,Stirling,1.7813402947329146e-6
Aberdeenshire,Edinburgh,1.7589855549998927e-6
Anglesey,Gwynedd,1.8048373633855694e-4
Anglesey,Conwy,3.4138859189571476e-5
Anglesey,Denbighshire,9.978779521806554e-6
Anglesey,Flintshire,4.376522712504449e-6
Anglesey,Wrexham,2.5977130518381104e-06
Anglesey,Trafford,2.259514706918223e-6
Anglesey,Cheshire West and Chester,2.254435210825552e-6
Anglesey,Cheshire East,1.525898009218876e-6
Anglesey,Halton,1.4989682188993975e-6
Anglesey,Salford,1.452199037753373e-6
Angus,Dundee,1.4662218509846353e-4
Angus,Perthshire and Kinross,2.4926802395298122e-5
Angus,Aberdeen City,1.958834925528511e-5
Angus,Aberdeenshire,1.2730485970145617e-5
Angus,Fife,7.09649739684034e-6
Angus,Clackmannanshire,2.620790681537932e-6
Angus,Edinburgh,2.554599756462457e-6
Angus,Stirling,2.3961950507573233e-6
Angus,Moray,2.276482024367289e-6
Angus,Glasgow,1.7650812458673013e-6
Antrim and Newtownabbey,Belfast,1.192506758406725e-4
Antrim and Newtownabbey,Mid and East Antrim,1.1030357471140252e-4
Antrim and Newtownabbey,Lisburn and Castlereagh,5.3070664445309955e-5
Antrim and Newtownabbey,North Down and Ards,3.273101706337636e-5
Antrim and Newtownabbey,Mid Ulster,2.3162814235408613e-5
Antrim and Newtownabbey,Causeway Coast and Glens,1.8290758044018462e-5
Antrim and Newtownabbey,"Armagh, Banbridge and Craigavon",1.5147809402978912e-5
Antrim and Newtownabbey,"Newry, Mourne and Down",1.3164668252557509e-5
Antrim and Newtownabbey,Derry and Strabane,5.2824258605352704e-6
Antrim and Newtownabbey,Fermanagh and Omagh,3.5578624365588376e-6
Argyll and Bute,West Dunbartonshire,4.252275404278891e-5
Argyll and Bute,Inverclyde,2.413001731170893e-5
Argyll and Bute,Glasgow,1.6211463189582875e-5
Argyll and Bute,Renfrewshire,1.5924201794010672e-5
Argyll and Bute,East Dunbartonshire,1.2097534991249914e-5
Argyll and Bute,East Renfrewshire,1.151271899529494e-5
Argyll and Bute,South Lanarkshire,7.413422571168839e-6
Argyll and Bute,Stirling,6.794267059145595e-6
Argyll and Bute,North Ayrshire,6.290061170756933e-6
Argyll and Bute,North Lanarkshire,5.4787871971626456e-6
"Armagh, Banbridge and Craigavon",Lisburn and Castlereagh,4.763507334654723e-5
"Armagh, Banbridge and Craigavon","Newry, Mourne and Down",3.7936227639242584e-5
"Armagh, Banbridge and Craigavon",Mid Ulster,3.4983569004344625e-5
"Armagh, Banbridge and Craigavon",Belfast,3.366730500292866e-5
"Armagh, Banbridge and Craigavon",Antrim and Newtownabbey,1.5147809402978912e-5
"Armagh, Banbridge and Craigavon",North Down and Ards,1.3802196972464033e-5
"Armagh, Banbridge and Craigavon",Mid and East Antrim,9.531330407820765e-6
"Armagh, Banbridge and Craigavon",Fermanagh and Omagh,4.799923204489507e-6
"Armagh, Banbridge and Craigavon",Causeway Coast and Glens,4.77782417456885e-6
"Armagh, Banbridge and Craigavon",Derry and Strabane,3.5044075341850884e-6
Barnsley,Rotherham,3.688609262741588e-5
Barnsley,Sheffield,2.6638493631138516e-5
Barnsley,Wakefield,2.467310836888483e-5
Barnsley,Doncaster,2.13548272257721e-5
Barnsley,Kirklees,7.793670444338803e-6
Barnsley,Leeds,6.84922537443717e-6
Barnsley,York,2.745166947861033e-6
Barnsley,Calderdale,2.6860064790194755e-6
Barnsley,North Yorkshire,2.3268558226761772e-6
Barnsley,Bradford,2.194593723146755e-6
Bath and North East Somerset,Bristol,6.065386030046569e-5
Bath and North East Somerset,South Gloucestershire,5.264415168707384e-5
Bath and North East Somerset,Wiltshire,3.626830470437909e-5
Bath and North East Somerset,Somerset,1.6518642135609548e-5
Bath and North East Somerset,North Somerset,1.2743985940101095e-5
Bath and North East Somerset,Monmouthshire,5.78409967073707e-6
Bath and North East Somerset,Swindon,5.533001285138539e-6
Bath and North East Somerset,Gloucestershire,3.1334032439159577e-6
Bath and North East Somerset,Cardiff,2.618710867622154e-6
Bath and North East Somerset,Newport,1.9179070380728552e-06
Bedfordshire,Central Bedfordshire,6.24500357320514e-5
Bedfordshire,Luton,2.725420687021931e-5
Bedfordshire,Milton Keynes,2.722601326735862e-5
Bedfordshire,Northamptonshire,1.2661698064697971e-5
Bedfordshire,Cambridgeshire,1.1899425006422402e-5
Bedfordshire,Hertfordshire,4.792059153236424e-6
Bedfordshire,Peterborough,3.494223835200391e-6
Bedfordshire,Buckinghamshire,2.9896098900539948e-6
Bedfordshire,Greater London,1.877911080643886e-6
Bedfordshire,Leicester,1.1045595668026002e-6
Belfast,Lisburn and Castlereagh,1.481941935935537e-4
Belfast,Antrim and Newtownabbey,1.192506758406725e-4
Belfast,North Down and Ards,8.846290566513826e-5
Belfast,Mid and East Antrim,6.139031333750741e-5
Belfast,"Newry, Mourne and Down",3.5612287242526846e-5
Belfast,"Armagh, Banbridge and Craigavon",3.366730500292866e-5
Belfast,Causeway Coast and Glens,1.690224177348076e-5
Belfast,Mid Ulster,1.6551920626414872e-5
Belfast,Derry and Strabane,9.050924956839169e-6
Belfast,Fermanagh and Omagh,6.599746026574654e-6
Birmingham,Solihull,7.558848477919222e-5
Birmingham,Sandwell,4.965116586469816e-5
Birmingham,Walsall,2.351101714413605e-5
Birmingham,Dudley,2.067367247917029e-5
Birmingham,Worcestershire,1.5163707860085912e-5
Birmingham,Wolverhampton,1.4486952797291448e-5
Birmingham,Coventry,1.1433980688099081e-5
Birmingham,Warwickshire,1.0410944838408184e-5
Birmingham,Staffordshire,7.746933551222827e-6
Birmingham,Telford and Wrekin,4.2985377431761064e-6
Blackburn with Darwen,Lancashire,4.21339573513222e-5
Blackburn with Darwen,Bolton,1.5512940441267273e-5
Blackburn with Darwen,Bury,8.465422665009665e-6
Blackburn with Darwen,Blackpool,7.5463417670684424e-6
Blackburn with Darwen,Rochdale,6.140445269642636e-6
Blackburn with Darwen,Manchester,5.74707143006996e-6
Blackburn with Darwen,Salford,5.379408347361706e-6
Blackburn with Darwen,Wigan,4.780512234612554e-6
Blackburn with Darwen,Sefton,3.6302086027005903e-6
Blackburn with Darwen,Trafford,3.1997713863725226e-6
Blackpool,Lancashire,4.420818684013648e-5
Blackpool,Blackburn with Darwen,7.5463417670684424e-6
Blackpool,Wigan,4.249938515436432e-6
Blackpool,Manchester,3.376660417913632e-6
Blackpool,Bolton,3.3555883263245613e-6
Blackpool,Bury,3.3348858704688834e-6
Blackpool,Sefton,3.3211626356487317e-6
Blackpool,Tameside,2.95830273047936e-6
Blackpool,Salford,2.84386195250628e-6
Blackpool,Oldham,2.825599216226452e-6
Blaenau Gwent,Monmouthshire,8.488437277343888e-5
Blaenau Gwent,Merthyr Tydfil,7.73729187303743e-5
Blaenau Gwent,Torfaen,7.027756774348163e-5
Blaenau Gwent,Caerphilly,5.52912673150597e-5
Blaenau Gwent,Newport,2.923216556998986e-5
Blaenau Gwent,Cardiff,1.9960084299355354e-5
Blaenau Gwent,"Rhondda, Cynon, Taff",1.5185810905616004e-5
Blaenau Gwent,Powys,1.0280459400730844e-5
Blaenau Gwent,Vale of Glamorgan,6.897228718180808e-6
Blaenau Gwent,Bridgend,4.966804822203422e-6
Bolton,Bury,5.341522609650436e-5
Bolton,Salford,4.7528631065664565e-5
Bolton,Wigan,3.912720266794649e-5
Bolton,Manchester,2.0438520792586688e-5
Bolton,Trafford,1.596266439106528e-5
Bolton,Blackburn with Darwen,1.5512940441267273e-5
Bolton,Rochdale,1.2780292899009369e-5
Bolton,Oldham,1.0380938093725957e-5
Bolton,Tameside,9.098903567574693e-6
Bolton,Lancashire,8.164114512260792e-6
Bournemouth,Poole,2.939724452261376e-4
Bournemouth,Dorset,8.109651059811343e-5
Bournemouth,Southampton,1.6065881992544564e-5
Bournemouth,Hampshire,9.460698736580671e-6
Bournemouth,Portsmouth,3.91054085662419e-6
Bournemouth,Wiltshire,3.5896433272291106e-6
Bournemouth,Isle of Wight,2.3584723528905044e-6
Bournemouth,Rutland,2.1119178778441306e-6
Bournemouth,Reading,1.6080378359343966e-6
Bournemouth,Somerset,1.370458204308665e-6
Bracknell Forest,Wokingham,8.989327842084863e-5
Bracknell Forest,Reading,5.433101899350034e-5
Bracknell Forest,Windsor and Maidenhead,4.695294782754114e-5
Bracknell Forest,Slough,3.4478172882182566e-5
Bracknell Forest,Surrey,1.5527012259144806e-5
Bracknell Forest,West Berkshire,1.4688539778277848e-5
Bracknell Forest,Hampshire,1.0173917033675495e-5
Bracknell Forest,Buckinghamshire,5.641363672401346e-6
Bracknell Forest,Greater London,3.0844341588775597e-6
Bracknell Forest,Oxfordshire,2.5632919756170486e-6
Bradford,Calderdale,3.950447143514609e-5
Bradford,Leeds,3.304824596289332e-5
Bradford,Kirklees,2.0580095211784257e-5
Bradford,Wakefield,9.448819370928867e-6
Bradford,North Yorkshire,8.804688416515761e-6
Bradford,York,2.9514288297379322e-6
Bradford,Barnsley,2.194593723146755e-6
Bradford,Manchester,1.7972598363007311e-6
Bradford,Rochdale,1.6080001581618894e-6
Bradford,Lancashire,1.4542446244046533e-6
Bridgend,Neath Port Talbot,5.233990335560609e-5
Bridgend,Vale of Glamorgan,4.8451638282653484e-5
Bridgend,Cardiff,4.57749244404708e-5
Bridgend,"Rhondda, Cynon, Taff",3.77571900680879e-5
Bridgend,Swansea,2.1104389878664177e-5
Bridgend,Merthyr Tydfil,1.3882684010084569e-5
Bridgend,Caerphilly,1.2680938285735858e-5
Bridgend,Newport,9.563407914730588e-6
Bridgend,Carmarthenshire,6.687280311553513e-6
Bridgend,Torfaen,6.5089375816000215e-6
Brighton and Hove,West Sussex,6.0663792831815904e-5
Brighton and Hove,East Sussex,5.864052871744487e-5
Brighton and Hove,Portsmouth,4.051395146366098e-6
Brighton and Hove,Surrey,3.835463751810101e-6
Brighton and Hove,Greater London,2.797872368271018e-6
Brighton and Hove,Southampton,1.8748444031781391e-6
Brighton and Hove,Kent,1.7853425206321214e-6
Brighton and Hove,Bath and North East Somerset,1.6533279526392378e-6
Brighton and Hove,Hampshire,1.4019741779945282e-6
Brighton and Hove,Reading,1.3885080629374124e-6
Bristol,South Gloucestershire,1.683816823746064e-4
Bristol,North Somerset,6.949822509148648e-5
Bristol,Bath and North East Somerset,6.065386030046569e-5
Bristol,Monmouthshire,2.0660382910141883e-5
Bristol,Newport,1.1302207378195707e-5
Bristol,Somerset,9.567456751840599e-6
Bristol,Gloucestershire,8.125087132711186e-6
Bristol,Wiltshire,7.923203053803494e-6
Bristol,Torfaen,5.6903525636812726e-6
Bristol,Cardiff,5.380499804774019e-6
Buckinghamshire,Slough,4.22628288544269e-5
Buckinghamshire,Windsor and Maidenhead,2.8119889666177615e-5
Buckinghamshire,Milton Keynes,1.609873967049823e-5
Buckinghamshire,Oxfordshire,1.0575819697148595e-5
Buckinghamshire,Central Bedfordshire,9.622839798686697e-6
Buckinghamshire,Luton,7.1484807134278415e-6
Buckinghamshire,Hertfordshire,7.130268613133447e-6
Buckinghamshire,Wokingham,5.661546258562677e-6
Buckinghamshire,Bracknell Forest,5.641363672401346e-6
Buckinghamshire,Reading,5.596972116264451e-6
Bury,Rochdale,6.311947231924039e-5
Bury,Salford,5.4146971927034365e-5
Bury,Bolton,5.341522609650436e-5
Bury,Manchester,5.264753380555694e-5
Bury,Oldham,2.443348711507147e-5
Bury,Trafford,2.3720815609025535e-5
Bury,Tameside,2.0195588487990163e-5
Bury,Stockport,1.873698605507727e-5
Bury,Wigan,1.0868150641481451e-5
Bury,Blackburn with Darwen,8.465422665009665e-6
Caerphilly,Cardiff,6.65312294772088e-5
Caerphilly,Merthyr Tydfil,6.532075238759353e-5
Caerphilly,Newport,6.074532118166367e-5
Caerphilly,Blaenau Gwent,5.52912673150597e-5
Caerphilly,Torfaen,4.553318295425421e-5
Caerphilly,"Rhondda, Cynon, Taff",3.326789357987487e-5
Caerphilly,Vale of Glamorgan,2.8088825652206844e-5
Caerphilly,Monmouthshire,1.8477519243616175e-5
Caerphilly,Bridgend,1.2680938285735858e-5
Caerphilly,Neath Port Talbot,5.00238941101638e-6
Calderdale,Kirklees,5.363788026874757e-5
Calderdale,Bradford,3.950447143514609e-5
Calderdale,Leeds,1.4156845744767256e-5
Calderdale,Rochdale,9.255137346185445e-6
Calderdale,Wakefield,7.511083840066447e-6
Calderdale,Oldham,5.758732185252006e-6
Calderdale,Manchester,3.641967458840842e-6
Calderdale,Salford,3.0140798825988673e-6
Calderdale,Bury,2.9910020854751402e-6
Calderdale,Lancashire,2.802903403769927e-6
Cambridgeshire,Peterborough,4.682239091140111e-5
Cambridgeshire,Bedfordshire,1.1899425006422402e-5
Cambridgeshire,Suffolk,1.1250511065657353e-5
Cambridgeshire,Norfolk,5.8690597540993694e-6
Cambridgeshire,Central Bedfordshire,4.827485311757636e-6
Cambridgeshire,Lincolnshire,4.318207324390738e-6
Cambridgeshire,Rutland,3.858767817903207e-6
Cambridgeshire,Hertfordshire,2.979523529185652e-6
Cambridgeshire,Northamptonshire,2.1630478498281387e-6
Cambridgeshire,Luton,2.162982459076847e-6
Cardiff,Vale of Glamorgan,1.5114767565519027e-4
Cardiff,"Rhondda, Cynon, Taff",7.248166103448765e-5
Cardiff,Caerphilly,6.65312294772088e-5
Cardiff,Newport,5.618680932806387e-5
Cardiff,Bridgend,4.57749244404708e-5
Cardiff,Merthyr Tydfil,3.7895330403375567e-5
Cardiff,Torfaen,3.2759458635399165e-5
Cardiff,Blaenau Gwent,1.9960084299355354e-5
Cardiff,Monmouthshire,1.915145794763169e-5
Cardiff,Neath Port Talbot,1.2771199631520779e-5
Carmarthenshire,Swansea,7.464858494652059e-5
Carmarthenshire,Neath Port Talbot,3.439148510656923e-5
Carmarthenshire,Ceredigion,3.2144796453889625e-5
Carmarthenshire,Pembrokeshire,2.5867539505717344e-5
Carmarthenshire,Bridgend,6.687280311553513e-6
Carmarthenshire,Cardiff,6.636455286271194e-6
Carmarthenshire,Merthyr Tydfil,6.007537157964849e-6
Carmarthenshire,"Rhondda, Cynon, Taff",5.252593803429387e-6
Carmarthenshire,Powys,4.257882815676993e-6
Carmarthenshire,Vale of Glamorgan,3.702720731193123e-6
Causeway Coast and Glens,Derry and Strabane,5.335257215493546e-5
Causeway Coast and Glens,Mid and East Antrim,3.874000321891367e-5
Causeway Coast and Glens,Mid Ulster,1.939465421581909e-5
Causeway Coast and Glens,Antrim and Newtownabbey,1.8290758044018462e-5
Causeway Coast and Glens,Belfast,1.690224177348076e-5
Causeway Coast and Glens,Lisburn and Castlereagh,9.282353082545476e-6
Causeway Coast and Glens,North Down and Ards,5.650350450274863e-6
Causeway Coast and Glens,"Armagh, Banbridge and Craigavon",4.77782417456885e-6
Causeway Coast and Glens,Fermanagh and Omagh,3.698913382012274e-6
Causeway Coast and Glens,"Newry, Mourne and Down",3.3526545222445122e-6
Central Bedfordshire,Luton,1.6651578485192767e-4
Central Bedfordshire,Bedfordshire,6.24500357320514e-5
Central Bedfordshire,Milton Keynes,3.324117547719975e-5
Central Bedfordshire,Hertfordshire,1.928331975746867e-5
Central Bedfordshire,Buckinghamshire,9.622839798686697e-6
Central Bedfordshire,Cambridgeshire,4.827485311757636e-6
Central Bedfordshire,Northamptonshire,3.855004335766887e-6
Central Bedfordshire,Greater London,3.409174641437925e-6
Central Bedfordshire,Peterborough,1.8720382979209833e-6
Central Bedfordshire,Slough,1.6269529230982491e-6
Ceredigion,Carmarthenshire,3.2144796453889625e-5
Ceredigion,Powys,2.9489441483085158e-5
Ceredigion,Pembrokeshire,2.268788170511568e-5
Ceredigion,Gwynedd,8.27081949754549e-6
Ceredigion,Swansea,6.886877699213948e-6
Ceredigion,Cardiff,5.208177259428092e-6
Ceredigion,Neath Port Talbot,3.6552025289653245e-6
Ceredigion,Herefordshire,3.0112115583370347e-6
Ceredigion,Shropshire,2.194567239438096e-6
Ceredigion,Vale of Glamorgan,2.020155662671119e-6
Cheshire East,Cheshire West and Chester,2.6079902195248087e-5
Cheshire East,Stockport,2.0683484981124913e-5
Cheshire East,Stoke-on-Trent,1.630339293386077e-5
Cheshire East,Manchester,1.2735470445563774e-5
Cheshire East,Trafford,1.0566519946931974e-5
Cheshire East,Staffordshire,8.627275671208954e-6
Cheshire East,Warrington,6.5503777970693015e-6
Cheshire East,Salford,6.5275168418233586e-6
Cheshire East,Tameside,6.190250764524303e-6
Cheshire East,Halton,4.165439965688707e-6
Cheshire West and Chester,Flintshire,5.624599404762107e-5
Cheshire West and Chester,Wirral,2.9838059317370814e-5
Cheshire West and Chester,Cheshire East,2.6079902195248087e-5
Cheshire West and Chester,Wrexham,2.2036085890840827e-5
Cheshire West and Chester,Halton,1.8098349240214363e-5
Cheshire West and Chester,Warrington,1.3485396763032306e-5
Cheshire West and Chester,Trafford,6.984832234126577e-6
Cheshire West and Chester,Denbighshire,6.783780492791691e-6
Cheshire West and Chester,Knowsley,6.131275371604951e-6
Cheshire West and Chester,Manchester,5.9906348552228135e-6
Clackmannanshire,Stirling,2.0863623934731348e-4
Clackmannanshire,Falkirk,7.047711893337634e-5
Clackmannanshire,Fife,1.2646873061549509e-5
Clackmannanshire,Glasgow,1.1285285491871374e-5
Clackmannanshire,Perthshire and Kinross,1.1204049698382472e-5
Clackmannanshire,East Dunbartonshire,9.887204601432365e-6
