polygon1_name,polygon2_name,mean_colocation,release_date
Aberdeen,Aberdeenshire,1.1196665123382176e-4,2020-11-03
Aberdeen,Moray,1.9298892004420347e-5,2020-11-03
Aberdeen,Angus,1.4559522370871758e-5,2020-11-03
Aberdeen,Dundee,9.54963804848128e-6,2020-11-03
Aberdeen,Perthshire and Kinross,5.81606072870725e-6,2020-11-03
Aberdeen,Highland,5.160575852379924e-6,2020-11-03
Aberdeen,Edinburgh,3.0834553944955706e-6,2020-11-03
Aberdeen,Stirling,2.1865354628057264e-6,2020-11-03
Aberdeen,Fife,2.057903938466275e-6,2020-11-03
Aberdeen,Orkney Islands,1.924369350114681e-6,2020-11-03
Aberdeenshire,Aberdeen,1.1196665123382176e-4,2020-11-03
Aberdeenshire,Moray,2.5772573604752933e-5,2020-11-03
Aberdeenshire,Angus,1.808174773674194e-5,2020-11-03
Aberdeenshire,Highland,6.030203507333721e-6,2020-11-03
Aberdeenshire,Dundee,4.527821344921971e-6,2020-11-03
Aberdeenshire,Perthshire and Kinross,2.8751815657482998e-6,2020-11-03
Aberdeenshire,Stirling,1.6324839056136843e-6,2020-11-03
Aberdeenshire,Clackmannanshire,1.3172260308394885e-6,2020-11-03
Aberdeenshire,Edinburgh,1.1781898751841376e-6,2020-11-03
Aberdeenshire,Orkney Islands,1.1487983067339296e-6,2020-11-03
Anglesey,Gwynedd,1.5691471233362754e-4,2020-11-03
Anglesey,Conwy,4.0275302668546086e-5,2020-11-03
Anglesey,Denbighshire,8.65320119718434e-6,2020-11-03
Anglesey,Isles of Scilly,3.1663923915739897e-6,2020-11-03
Anglesey,Flintshire,3.1019596847437004e-6,2020-11-03
Anglesey,Wrexham,2.8275667971050892e-6,2020-11-03
Anglesey,Salford,2.2355821245982956e-6,2020-11-03
Anglesey,Trafford,1.8296118126745911e-6,2020-11-03
Anglesey,Rochdale,1.454354878279384e-6,2020-11-03
Anglesey,Cheshire West and Chester,1.4349861640790348e-6,2020-11-03
Angus,Dundee,1.8086776438913082e-4,2020-11-03
Angus,Perthshire and Kinross,3.5806748187888295e-5,2020-11-03
Angus,Aberdeenshire,1.808174773674194e-5,2020-11-03
Angus,Aberdeen,1.4559522370871758e-5,2020-11-03
Angus,Fife,8.15261850618734e-6,2020-11-03
Angus,Clackmannanshire,4.3073738659017445e-6,2020-11-03
Angus,Stirling,3.3340643848848546e-6,2020-11-03
Angus,Highland,2.838294800367707e-6,2020-11-03
Angus,Moray,2.40191690297284e-6,2020-11-03
Angus,Edinburgh,1.9203434024839046e-6,2020-11-03
Antrim and Newtownabbey,Belfast,1.2952619250518403e-4,2020-11-03
Antrim and Newtownabbey,Mid and East Antrim,1.259784726542859e-4,2020-11-03
Antrim and Newtownabbey,Lisburn and Castlereagh,4.9888095973414255e-5,2020-11-03
Antrim and Newtownabbey,North Down and Ards,3.0382979121322785e-5,2020-11-03
Antrim and Newtownabbey,Causeway Coast and Glens,2.7038472887256006e-5,2020-11-03
Antrim and Newtownabbey,Mid Ulster,2.4816401707754484e-5,2020-11-03
Antrim and Newtownabbey,"Armagh, Banbridge and Craigavon",1.4301054940409702e-5,2020-11-03
Antrim and Newtownabbey,"Newry, Mourne and Down",1.2145613188475339e-5,2020-11-03
Antrim and Newtownabbey,Derry and Strabane,4.63031498415512e-6,2020-11-03
Antrim and Newtownabbey,Fermanagh and Omagh,2.8450147884463247e-6,2020-11-03
Argyll and Bute,West Dunbartonshire,5.894760610666456e-5,2020-11-03
Argyll and Bute,Inverclyde,2.8620083738066327e-5,2020-11-03
Argyll and Bute,Renfrewshire,1.59881959555033e-5,2020-11-03
Argyll and Bute,Glasgow,1.3610296249913713e-5,2020-11-03
Argyll and Bute,East Dunbartonshire,9.04587100151347e-6,2020-11-03
Argyll and Bute,Stirling,8.00022529545379e-6,2020-11-03
Argyll and Bute,North Ayrshire,7.200665046365164e-6,2020-11-03
Argyll and Bute,East Renfrewshire,6.785468685766693e-6,2020-11-03
Argyll and Bute,Clackmannanshire,6.032138995122411e-6,2020-11-03
Argyll and Bute,South Lanarkshire,5.650756795226021e-6,2020-11-03
"Armagh, Banbridge and Craigavon",Lisburn and Castlereagh,5.972783300856394e-5,2020-11-03
"Armagh, Banbridge and Craigavon",Mid Ulster,5.2521025583564e-5,2020-11-03
"Armagh, Banbridge and Craigavon","Newry, Mourne and Down",4.6911044767292634e-5,2020-11-03
"Armagh, Banbridge and Craigavon",Belfast,2.8056873499664016e-5,2020-11-03
"Armagh, Banbridge and Craigavon",Antrim and Newtownabbey,1.4301054940409702e-5,2020-11-03
"Armagh, Banbridge and Craigavon",North Down and Ards,1.1757998668668215e-5,2020-11-03
"Armagh, Banbridge and Craigavon",Fermanagh and Omagh,7.959713253066724e-6,2020-11-03
"Armagh, Banbridge and Craigavon",Mid and East Antrim,7.3825027955359645e-6,2020-11-03
"Armagh, Banbridge and Craigavon",Causeway Coast and Glens,5.124000503281113e-6,2020-11-03
"Armagh, Banbridge and Craigavon",Derry and Strabane,1.8879378632575882e-6,2020-11-03
Barnsley,Rotherham,4.200970977915402e-5,2020-11-03
Barnsley,Wakefield,2.8070891670716413e-5,2020-11-03
Barnsley,Sheffield,2.7971232588157288e-5,2020-11-03
Barnsley,Doncaster,2.5187212063466892e-5,2020-11-03
Barnsley,Kirklees,8.164821605511927e-6,2020-11-03
Barnsley,Leeds,7.296795457210208e-6,2020-11-03
Barnsley,North Yorkshire,3.3914774884348317e-6,2020-11-03
Barnsley,York,3.226142189028021e-6,2020-11-03
Barnsley,Bradford,3.1911533916265584e-6,2020-11-03
Barnsley,East Riding of Yorkshire,3.1393404616903482e-6,2020-11-03
Bath and North East Somerset,Bristol,7.105473126802689e-5,2020-11-03
Bath and North East Somerset,South Gloucestershire,5.855805926307616e-5,2020-11-03
Bath and North East Somerset,Wiltshire,4.515396460025558e-5,2020-11-03
Bath and North East Somerset,Somerset,2.175048965893078e-5,2020-11-03
Bath and North East Somerset,North Somerset,1.6650304023205856e-5,2020-11-03
Bath and North East Somerset,Monmouthshire,8.008548151493617e-6,2020-11-03
Bath and North East Somerset,Swindon,7.804859814497478e-6,2020-11-03
Bath and North East Somerset,Dorset,4.815623604840859e-6,2020-11-03
Bath and North East Somerset,Poole,4.134994968820026e-6,2020-11-03
Bath and North East Somerset,Torbay,3.8129607891286843e-6,2020-11-03
Bedfordshire,Central Bedfordshire,8.362613448190066e-5,2020-11-03
Bedfordshire,Luton,4.2796979205029305e-5,2020-11-03
Bedfordshire,Milton Keynes,3.6848031443909315e-5,2020-11-03
Bedfordshire,Northamptonshire,1.6840929395427336e-5,2020-11-03
Bedfordshire,Cambridgeshire,1.495488384076742e-5,2020-11-03
Bedfordshire,Hertfordshire,5.7879198853904815e-6,2020-11-03
Bedfordshire,Buckinghamshire,3.815285027197063e-6,2020-11-03
Bedfordshire,Peterborough,2.9682913552453652e-6,2020-11-03
Bedfordshire,Greater London,1.7989757798722614e-6,2020-11-03
Bedfordshire,Suffolk,1.4187020645167334e-6,2020-11-03
Belfast,Lisburn and Castlereagh,1.4023004998978085e-4,2020-11-03
Belfast,Antrim and Newtownabbey,1.2952619250518403e-4,2020-11-03
Belfast,North Down and Ards,8.702477422898949e-5,2020-11-03
Belfast,Mid and East Antrim,5.3691888596597655e-5,2020-11-03
Belfast,"Newry, Mourne and Down",3.441969222453097e-5,2020-11-03
Belfast,"Armagh, Banbridge and Craigavon",2.8056873499664016e-5,2020-11-03
Belfast,Causeway Coast and Glens,1.7815962240630923e-5,2020-11-03
Belfast,Mid Ulster,1.364628620146519e-5,2020-11-03
Belfast,Fermanagh and Omagh,6.2347931803841255e-6,2020-11-03
Belfast,Derry and Strabane,5.962868670580932e-6,2020-11-03
Birmingham,Solihull,8.967694281965454e-5,2020-11-03
Birmingham,Sandwell,5.918912052520975e-5,2020-11-03
Birmingham,Walsall,2.6772549608021773e-5,2020-11-03
Birmingham,Dudley,2.1813925547298707e-5,2020-11-03
Birmingham,Wolverhampton,1.6646857596382427e-5,2020-11-03
Birmingham,Worcestershire,1.6370476213077663e-5,2020-11-03
Birmingham,Coventry,1.2126504267569745e-5,2020-11-03
Birmingham,Warwickshire,1.0607315649673505e-5,2020-11-03
Birmingham,Staffordshire,7.992233327848783e-6,2020-11-03
Birmingham,Telford and Wrekin,3.8439670864961404e-6,2020-11-03
Blackburn with Darwen,Lancashire,5.129866288625146e-5,2020-11-03
Blackburn with Darwen,Bolton,1.7375423587812476e-5,2020-11-03
Blackburn with Darwen,Blackpool,1.1974910305786167e-5,2020-11-03
Blackburn with Darwen,Bury,9.671319746917109e-6,2020-11-03
Blackburn with Darwen,Manchester,5.634898741572516e-6,2020-11-03
Blackburn with Darwen,Salford,5.529490855521632e-6,2020-11-03
Blackburn with Darwen,Rochdale,5.400854849456703e-6,2020-11-03
Blackburn with Darwen,Wigan,5.152107951986546e-6,2020-11-03
Blackburn with Darwen,Saint Helens,3.6230850523051056e-6,2020-11-03
Blackburn with Darwen,Tameside,3.2702089420752975e-6,2020-11-03
Blackpool,Lancashire,5.416050006899353e-5,2020-11-03
Blackpool,Blackburn with Darwen,1.1974910305786167e-5,2020-11-03
Blackpool,Wigan,6.574506533762499e-6,2020-11-03
Blackpool,Rochdale,5.829042985453538e-6,2020-11-03
Blackpool,Oldham,5.528530073144213e-6,2020-11-03
Blackpool,Bury,5.493944133516919e-6,2020-11-03
Blackpool,Salford,5.078502983098525e-6,2020-11-03
Blackpool,Trafford,4.2069244652708e-6,2020-11-03
Blackpool,Bolton,4.18322658791607e-6,2020-11-03
Blackpool,Warrington,3.88691895301461e-6,2020-11-03
Blaenau Gwent,Monmouthshire,9.356291272703785e-5,2020-11-03
Blaenau Gwent,Torfaen,7.23967299632179e-5,2020-11-03
Blaenau Gwent,Merthyr Tydfil,6.178240123123498e-5,2020-11-03
Blaenau Gwent,Caerphilly,5.5695204008803084e-5,2020-11-03
Blaenau Gwent,Newport,2.9498543562761e-5,2020-11-03
Blaenau Gwent,Cardiff,1.620605761500859e-5,2020-11-03
Blaenau Gwent,"Rhondda, Cynon, Taff",1.2975898450973877e-5,2020-11-03
Blaenau Gwent,Powys,6.812466742815565e-6,2020-11-03
Blaenau Gwent,Vale of Glamorgan,5.43602342330203e-6,2020-11-03
Blaenau Gwent,Neath Port Talbot,4.185947350879582e-6,2020-11-03
Bolton,Bury,6.302019814967895e-5,2020-11-03
Bolton,Salford,5.562779372475766e-5,2020-11-03
Bolton,Wigan,4.630181853498967e-5,2020-11-03
Bolton,Manchester,1.9165354049511084e-5,2020-11-03
Bolton,Blackburn with Darwen,1.7375423587812476e-5,2020-11-03
Bolton,Trafford,1.551368456383931e-5,2020-11-03
Bolton,Rochdale,1.2288570094664166e-5,2020-11-03
Bolton,Oldham,9.151234914408807e-6,2020-11-03
Bolton,Lancashire,8.239573358133268e-6,2020-11-03
Bolton,Tameside,8.082370144221007e-6,2020-11-03
Bournemouth,Poole,3.509548765442163e-4,2020-11-03
Bournemouth,Dorset,1.1058126925552999e-4,2020-11-03
Bournemouth,Southampton,2.3846657936270666e-5,2020-11-03
Bournemouth,Hampshire,1.2593076740802928e-5,2020-11-03
Bournemouth,Wiltshire,7.738584310442512e-6,2020-11-03
Bournemouth,Portsmouth,4.197355960867077e-6,2020-11-03
Bournemouth,Bracknell Forest,3.905372851629644e-6,2020-11-03
Bournemouth,Isle of Wight,3.8784440489238755e-6,2020-11-03
Bournemouth,Wokingham,3.4212801037744233e-6,2020-11-03
Bournemouth,Bath and North East Somerset,3.241860708771076e-6,2020-11-03
Bracknell Forest,Wokingham,1.035013237742816e-4,2020-11-03
Bracknell Forest,Reading,6.98782075678068e-5,2020-11-03
Bracknell Forest,Windsor and Maidenhead,5.93570611153136e-5,2020-11-03
Bracknell Forest,Slough,4.229922929729098e-5,2020-11-03
Bracknell Forest,Surrey,2.0138868876809547e-5,2020-11-03
Bracknell Forest,West Berkshire,1.655609885491254e-5,2020-11-03
Bracknell Forest,Hampshire,1.2514255470597618e-5,2020-11-03
Bracknell Forest,Buckinghamshire,8.014806857931622e-6,2020-11-03
Bracknell Forest,Bournemouth,3.905372851629644e-6,2020-11-03
Bracknell Forest,Greater London,3.364934290363517e-6,2020-11-03
Bradford,Calderdale,4.786899118383752e-5,2020-11-03
Bradford,Leeds,3.3477496308383685e-5,2020-11-03
Bradford,Kirklees,2.5688486672143847e-5,2020-11-03
Bradford,North Yorkshire,1.2333552611790616e-5,2020-11-03
Bradford,Wakefield,1.0310092736215304e-5,2020-11-03
Bradford,York,5.161419609795493e-6,2020-11-03
Bradford,Barnsley,3.1911533916265584e-6,2020-11-03
Bradford,East Riding of Yorkshire,2.9223635884162597e-6,2020-11-03
Bradford,Blackpool,2.60929604759025e-6,2020-11-03
Bradford,Rotherham,1.918411235892969e-6,2020-11-03
Bridgend,Neath Port Talbot,5.7570825798638285e-5,2020-11-03
Bridgend,Vale of Glamorgan,4.527170592083307e-5,2020-11-03
Bridgend,Cardiff,3.1617149053401795e-5,2020-11-03
Bridgend,"Rhondda, Cynon, Taff",3.059707484473435e-5,2020-11-03
Bridgend,Swansea,2.18470005193373e-5,2020-11-03
Bridgend,Merthyr Tydfil,9.180105803775248e-6,2020-11-03
Bridgend,Newport,8.488762606861878e-6,2020-11-03
Bridgend,Caerphilly,7.064123250597967e-6,2020-11-03
Bridgend,Torfaen,6.67232849899527e-6,2020-11-03
Bridgend,Monmouthshire,4.9747210164084935e-6,2020-11-03
Brighton and Hove,West Sussex,7.586679635516689e-5,2020-11-03
Brighton and Hove,East Sussex,7.417898241779004e-5,2020-11-03
Brighton and Hove,Portsmouth,5.8199382115486755e-6,2020-11-03
Brighton and Hove,Surrey,5.082339648563121e-6,2020-11-03
Brighton and Hove,Southampton,4.259378511061212e-6,2020-11-03
Brighton and Hove,Windsor and Maidenhead,3.3766231291398743e-6,2020-11-03
Brighton and Hove,Kent,3.348141204685981e-6,2020-11-03
Brighton and Hove,Greater London,3.1708973187397734e-6,2020-11-03
Brighton and Hove,Wokingham,3.0538941652709625e-6,2020-11-03
Brighton and Hove,Bournemouth,2.5702471610910347e-6,2020-11-03
Bristol,South Gloucestershire,1.9725176603432003e-4,2020-11-03
Bristol,North Somerset,7.404996889134179e-5,2020-11-03
Bristol,Bath and North East Somerset,7.105473126802689e-5,2020-11-03
Bristol,Monmouthshire,2.0237001116028324e-5,2020-11-03
Bristol,Newport,1.292045566505025e-5,2020-11-03
Bristol,Somerset,1.0868112066529877e-5,2020-11-03
Bristol,Wiltshire,9.820864804666915e-6,2020-11-03
Bristol,Gloucestershire,9.197704561437359e-6,2020-11-03
Bristol,Swindon,7.166652254413865e-6,2020-11-03
Bristol,Torbay,4.7662728627380025e-6,2020-11-03
Buckinghamshire,Slough,5.863592489462891e-5,2020-11-03
Buckinghamshire,Windsor and Maidenhead,3.833038291406285e-5,2020-11-03
Buckinghamshire,Milton Keynes,1.8431952152237748e-5,2020-11-03
Buckinghamshire,Oxfordshire,1.4890734884282586e-5,2020-11-03
Buckinghamshire,Central Bedfordshire,1.249727454868932e-5,2020-11-03
Buckinghamshire,Hertfordshire,9.412857973913858e-6,2020-11-03
